CID,P1,P2,Included
C285,Fei-0,ICE107,1
C286,Fei-0,ICE111,1
C287,Fei-0,ICE150,1
C288,Fei-0,ICE181,1
C289,Fei-0,ICE212,1
C290,Fei-0,ICE216,1
C291,Fei-0,ICE228,1
C292,Fei-0,Cdm-0,1
C293,Fei-0,TueWa1-2,1
C294,HKT2.4,ICE50,1
C295,HKT2.4,ICE61,1
C296,HKT2.4,ICE150,1
C297,HKT2.4,ICE212,1
C298,HKT2.4,ICE228,1
C299,HKT2.4,Bak-2,1
C300,HKT2.4,Cdm-0,1
C301,HKT2.4,Ey15-2,1
C302,HKT2.4,Fei-0,1
C303,HKT2.4,Koch-1,1
C304,HKT2.4,Rue3-1-31,1
C305,HKT2.4,TueWa1-2,1
C306,HKT2.4,Yeg-1,1
C307,Koch-1,ICE29,1
C308,Koch-1,ICE50,1
C309,Koch-1,ICE63,1
C310,Koch-1,ICE92,1
C311,Koch-1,ICE107,1
C312,Koch-1,ICE181,1
C313,Koch-1,ICE212,1
C314,Koch-1,ICE216,1
C315,Koch-1,Bak-2,1
C316,Koch-1,Ey15-2,1
C317,Koch-1,Fei-0,1
C318,Koch-1,Mer-6,1
C319,Koch-1,Sha,1
C320,Koch-1,Yeg-1,1
C321,Mer-6,ICE63,1
C322,Mer-6,ICE72,1
C323,Mer-6,ICE107,1
C324,Mer-6,ICE111,1
C325,Mer-6,ICE150,0
C326,Mer-6,ICE181,1
C327,Mer-6,ICE216,1
C328,Mer-6,ICE228,1
C329,Mer-6,Fei-0,1
C330,Mer-6,HKT2.4,1
C331,Mer-6,Qui-0,1
C332,Mer-6,Rue3-1-31,1
C333,Mer-6,Sha,1
C334,Nie1-2,ICE61,1
C335,Nie1-2,ICE63,1
C336,Nie1-2,ICE79,1
C337,Nie1-2,ICE92,1
C338,Nie1-2,ICE107,1
C339,Nie1-2,ICE111,1
C340,Nie1-2,ICE212,1
C341,Nie1-2,ICE228,1
C342,Nie1-2,Cdm-0,1
C343,Nie1-2,Fei-0,1
C344,Nie1-2,HKT2.4,1
C345,Nie1-2,Koch-1,1
C346,Nie1-2,Mer-6,1
C347,Nie1-2,Qui-0,1
C348,Nie1-2,Rue3-1-31,1
C349,Qui-0,ICE63,1
C350,Qui-0,ICE181,1
C351,Qui-0,ICE212,1
C352,Qui-0,ICE228,1
C353,Qui-0,Cdm-0,1
C354,Qui-0,Fei-0,1
C355,Qui-0,HKT2.4,1
C356,Qui-0,Koch-1,1
C357,Qui-0,Rue3-1-31,1
C358,Qui-0,Sha,1
C359,Qui-0,Tuescha-9,1
C360,Qui-0,TueWa1-2,1
C361,Qui-0,Yeg-1,1
C362,Rue3-1-31,ICE29,1
C363,Rue3-1-31,ICE50,1
C364,Rue3-1-31,ICE72,1
C365,Rue3-1-31,ICE92,1
C366,Rue3-1-31,ICE111,1
C367,Rue3-1-31,ICE119,1
C368,Rue3-1-31,ICE150,1
C369,Rue3-1-31,Bak-2,1
C370,Rue3-1-31,Fei-0,1
C371,Rue3-1-31,Koch-1,1
C372,Rue3-1-31,Sha,1
C373,Rue3-1-31,Tuescha-9,1
C374,Rue3-1-31,TueWa1-2,1
C375,Sha,ICE61,1
C376,Sha,ICE72,1
C377,Sha,ICE73,1
C378,Sha,ICE79,1
C379,Sha,ICE111,1
C380,Sha,ICE119,1
C381,Sha,ICE181,1
C382,Sha,ICE212,1
C383,Sha,ICE216,1
C384,Sha,Bak-2,1
C385,Sha,Ey15-2,1
C386,Sha,Fei-0,1
C387,Sha,HKT2.4,1
C388,Sha,Nie1-2,1
C389,Sha,TueWa1-2,0
C390,Tuescha-9,ICE50,1
C391,Tuescha-9,ICE73,1
C392,Tuescha-9,ICE92,1
C393,Tuescha-9,ICE107,1
C394,Tuescha-9,ICE111,1
C395,Tuescha-9,ICE181,1
C396,Tuescha-9,ICE212,1
C397,Tuescha-9,ICE216,1
C398,Tuescha-9,ICE228,1
C399,Tuescha-9,Bak-2,1
C400,Tuescha-9,Cdm-0,0
C401,Tuescha-9,Fei-0,1
C402,Tuescha-9,HKT2.4,1
C403,Tuescha-9,Koch-1,1
C404,Tuescha-9,Mer-6,1
C405,Tuescha-9,Nie1-2,1
C406,Tuescha-9,Sha,1
C407,TueWa1-2,ICE50,1
C408,TueWa1-2,ICE63,1
C409,TueWa1-2,ICE72,1
C410,TueWa1-2,ICE73,1
C411,TueWa1-2,ICE92,1
C412,TueWa1-2,ICE107,1
C413,TueWa1-2,ICE111,1
C414,TueWa1-2,ICE150,1
C415,TueWa1-2,ICE181,1
C416,TueWa1-2,ICE216,0
C417,TueWa1-2,Koch-1,1
C418,TueWa1-2,Mer-6,1
C419,TueWa1-2,Nie1-2,1
C420,TueWa1-2,Tuescha-9,1
C421,TueWa1-2,Yeg-1,1
C422,Yeg-1,ICE29,1
C423,Yeg-1,ICE73,1
C424,Yeg-1,ICE79,1
C425,Yeg-1,ICE92,1
C426,Yeg-1,ICE111,1
C427,Yeg-1,ICE150,1
C428,Yeg-1,ICE181,1
C429,Yeg-1,ICE212,1
C430,Yeg-1,Fei-0,1
C431,Yeg-1,Mer-6,1
C432,Yeg-1,Nie1-2,1
C433,Yeg-1,Rue3-1-31,1
C434,Yeg-1,Sha,1
C435,Yeg-1,Tuescha-9,1
PM001,ICE29,ICE29,1
PM002,ICE50,ICE50,1
PM003,ICE61,ICE61,0
PM004,ICE63,ICE63,1
PM005,ICE72,ICE72,1
PM006,ICE73,ICE73,1
PM007,ICE79,ICE79,1
PM008,ICE92,ICE92,1
PM009,ICE107,ICE107,1
PM010,ICE111,ICE111,1
PM011,ICE119,ICE119,1
PM012,ICE150,ICE150,1
PM013,ICE181,ICE181,1
PM014,ICE212,ICE212,1
PM015,ICE216,ICE216,1
PM016,ICE228,ICE228,1
PM017,Bak-2,Bak-2,0
PM018,Cdm-0,Cdm-0,1
PM019,Ey15-2,Ey15-2,1
PM020,Fei-0,Fei-0,1
PM021,HKT2.4,HKT2.4,1
PM022,Koch-1,Koch-1,1
PM023,Mer-6,Mer-6,1
PM024,Nie1-2,Nie1-2,1
PM025,Qui-0,Qui-0,1
PM026,Rue3-1-31,Rue3-1-31,1
PM027,Sha,Sha,1
PM028,Tuescha-9,Tuescha-9,1
PM029,TueWa1-2,TueWa1-2,1
PM030,Yeg-1,Yeg-1,1
PS001,ICE29,ICE29,1
PS002,ICE50,ICE50,1
PS003,ICE61,ICE61,1
PS004,ICE63,ICE63,1
PS005,ICE72,ICE72,1
PS006,ICE73,ICE73,1
PS007,ICE79,ICE79,1
PS008,ICE92,ICE92,1
PS009,ICE107,ICE107,1
PS010,ICE111,ICE111,1
PS011,ICE119,ICE119,1
PS012,ICE150,ICE150,1
PS013,ICE181,ICE181,1
PS014,ICE212,ICE212,1
PS015,ICE216,ICE216,1
PS016,ICE228,ICE228,1
PS017,Bak-2,Bak-2,1
PS018,Cdm-0,Cdm-0,1
PS019,Ey15-2,Ey15-2,1
PS020,Fei-0,Fei-0,1
PS021,HKT2.4,HKT2.4,1
PS022,Koch-1,Koch-1,1
PS023,Mer-6,Mer-6,1
PS024,Nie1-2,Nie1-2,1
PS025,Qui-0,Qui-0,1
PS026,Rue3-1-31,Rue3-1-31,1
PS027,Sha,Sha,1
PS028,Tuescha-9,Tuescha-9,1
PS029,TueWa1-2,TueWa1-2,1
PS030,Yeg-1,Yeg-1,1
